INFO  - 2013-11-03 09:07:41.139; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-11-03 09:07:41.164; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/161484/solr-4.5.0/example/contexts at interval 0
INFO  - 2013-11-03 09:07:41.170; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/161484/solr-4.5.0/example/contexts/solr-jetty-context.xml
INFO  - 2013-11-03 09:07:41.221; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/161484/solr-4.5.0/example/webapps/solr.war!/ to /Users/161484/solr-4.5.0/example/solr-webapp/webapp
INFO  - 2013-11-03 09:07:42.622; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-11-03 09:07:42.659; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-11-03 09:07:42.677; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-11-03 09:07:42.678; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-11-03 09:07:42.679; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-11-03 09:07:42.785; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/161484/solr-4.5.0/example/solr/solr.xml
INFO  - 2013-11-03 09:07:42.945; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2013-11-03 09:07:42.952; org.apache.solr.core.CoreContainer; New CoreContainer 501654535
INFO  - 2013-11-03 09:07:42.952; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2013-11-03 09:07:42.968; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-11-03 09:07:42.969; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-11-03 09:07:42.969; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-11-03 09:07:42.971; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-11-03 09:07:42.971; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-11-03 09:07:42.971; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-11-03 09:07:42.972; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-11-03 09:07:42.972; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-11-03 09:07:42.972; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-11-03 09:07:42.978; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2013-11-03 09:07:43.150; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2013-11-03 09:07:43.151; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2013-11-03 09:07:47.563; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/161484/solr-4.5.0/example/solr
INFO  - 2013-11-03 09:07:47.577; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/161484/solr-4.5.0/example/solr/collection1/
INFO  - 2013-11-03 09:07:47.577; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2013-11-03 09:07:47.579; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /Users/161484/solr-4.5.0/example/solr/collection1
INFO  - 2013-11-03 09:07:47.579; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/161484/solr-4.5.0/example/solr/collection1/'
INFO  - 2013-11-03 09:07:47.656; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2013-11-03 09:07:47.658; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2013-11-03 09:07:47.658; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/161484/solr-4.5.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
